,player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship_x,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,Age_2020,Position_2020,fm_player_index,Unnamed: 0,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,Preferred Foot,Best Pos,Best Role,Value,Wage,CA,PA,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,country_of_citizenship_y,Transfermarkt_Name,value_2022,date,market_value,value_2020,value_diff
0,342229,2021,583,kylian-mbappe,Kylian Mbappe,France,France,1998-12-20,Attack,attack - Centre-Forward,Right,178,144000000.0,180000000.0,https://www.transfermarkt.co.uk/kylian-mbappe/profil/spieler/342229,21,2,6965,2,Kylian MbappÃ©,"AM (RL), ST (C)",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,178,73,20,Right,ST (C),AF,86000000,375000,181,196,10,13,1,17,10,2,11,14,2,1,1,2,15,13,20,3,18,15,2,2,12,10,4,8,7,3,10,18,16,17,3,18,14,16,13,10,13,18,2,1,12,14,17,16,6,4,20,France,kylian-mbappe,144000000.0,2019-12-19,180000000,180000000,-36000000.0
1,418560,2021,16,erling-haaland,Erling Haaland,England,Norway,2000-07-21,Attack,attack - Centre-Forward,Left,195,135000000.0,135000000.0,https://www.transfermarkt.co.uk/erling-haaland/profil/spieler/418560,19,2,28214,5,Erling Haaland,ST (C),Borussia Dortmund,Bundesliga,Germany (Bundesliga),NOR,194,87,18,Left,ST (C),AF,67000000,135000,166,189,13,13,2,14,11,7,17,13,2,4,3,7,17,12,18,1,18,16,6,5,12,12,1,15,12,4,9,16,16,18,1,13,19,13,9,7,13,17,2,3,14,17,16,14,13,3,15,Norway,erling-haaland,135000000.0,2019-09-03,10800000,10800000,124200000.0
2,371998,2021,418,vinicius-junior,Vinicius Junior,Brazil,Brazil,2000-07-12,Attack,attack - Left Winger,Right,176,90000000.0,90000000.0,https://www.transfermarkt.co.uk/vinicius-junior/profil/spieler/371998,19,2,31,418,VinÃ­cius JÃºnior,"AM (L), ST (C)",R. Madrid,Spanish First Division,Spain (First Division),BRA,177,62,18,Right,AM (L),IW,22500000,59000,143,161,13,12,4,16,12,4,11,12,2,2,1,7,12,12,16,2,13,15,4,3,10,10,3,8,8,1,8,16,12,12,3,17,18,11,12,7,11,10,2,3,13,12,14,16,14,3,17,Brazil,vine­cius-junior,90000000.0,2019-12-20,45000000,45000000,45000000.0
3,132098,2021,148,harry-kane,Harry Kane,England,England,1993-07-28,Attack,attack - Centre-Forward,Right,188,81000000.0,135000000.0,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098,26,2,15194,12,Harry Kane,"AM (C), ST (C)",Tottenham,English Premier Division,England (Premier Division),ENG,188,86,25,Either,ST (C),DLF,77000000,200000,183,185,18,18,3,16,18,11,14,17,2,3,3,11,20,18,12,2,16,16,10,6,16,15,2,13,15,3,12,12,14,19,1,13,19,16,16,9,15,18,2,1,16,13,16,12,11,2,13,England,harry-kane,81000000.0,2019-12-10,135000000,135000000,-54000000.0
4,148455,2021,31,mohamed-salah,Mohamed Salah,Egypt,Egypt,1992-06-15,Attack,attack - Right Winger,Left,175,81000000.0,135000000.0,https://www.transfermarkt.co.uk/mohamed-salah/profil/spieler/148455,27,2,14797,14,Mohamed Salah,"AM (RL), ST (C)",Liverpool,English Premier Division,England (Premier Division),EGY,175,72,27,Left,AM (R),IF,79000000,200000,179,184,14,16,1,16,14,7,14,14,2,3,4,7,14,14,18,3,18,16,8,4,13,10,3,7,10,1,13,15,15,18,1,16,16,14,14,14,15,15,1,2,11,17,16,16,10,3,18,Egypt,mohamed-salah,81000000.0,2019-12-10,135000000,135000000,-54000000.0
5,240306,2021,985,bruno-fernandes,Bruno Fernandes,Portugal,Portugal,1994-09-08,Attack,midfield - Attacking Midfield,Right,179,76500000.0,81000000.0,https://www.transfermarkt.co.uk/bruno-fernandes/profil/spieler/240306,25,2,22486,126,Bruno Fernandes,"M (C), AM (RC)",Man Utd,English Premier Division,England (Premier Division),POR,180,69,24,Right,AM (C),AM,57000000,100000,165,170,17,16,3,16,14,10,12,17,1,3,2,8,19,17,14,3,15,17,6,4,17,16,3,8,10,1,16,17,16,15,2,14,19,12,16,16,14,15,1,3,17,14,13,15,18,1,13,Portugal,bruno-fernandes,76500000.0,2019-10-11,54000000,54000000,22500000.0
6,357662,2021,379,declan-rice,Declan Rice,England,England,1999-01-14,Midfield,midfield - Defensive Midfield,Right,188,72000000.0,72000000.0,https://www.transfermarkt.co.uk/declan-rice/profil/spieler/357662,20,1,15234,37,Declan Rice,"D (C), DM, M (C)",West Ham,English Premier Division,England (Premier Division),ENG,185,80,20,Right,DM,DLP,22000000,30000,138,180,15,12,3,12,14,16,13,15,3,1,1,15,5,13,13,2,10,15,14,10,7,13,2,12,12,3,8,10,12,9,2,12,17,13,9,7,13,17,1,1,14,13,14,13,12,3,12,England,declan-rice,72000000.0,2019-09-12,45000000,45000000,27000000.0
7,314353,2021,31,trent-alexander-arnold,Trent Alexander Arnold,England,England,1998-10-07,Defender,Defender - Right-Back,Right,180,72000000.0,99000000.0,https://www.transfermarkt.co.uk/trent-alexander-arnold/profil/spieler/314353,21,0,15198,57,Trent Alexander-Arnold,"D/WB (R), DM, M (C)",Liverpool,English Premier Division,England (Premier Division),ENG,180,70,20,Right,D (R),CWB,52000000,75000,159,178,15,16,2,17,15,13,12,14,3,2,2,12,12,18,14,1,14,14,13,13,12,13,3,11,10,2,14,14,15,11,3,13,16,14,17,14,13,15,1,1,14,14,15,14,15,2,14,England,trent-alexander-arnold,72000000.0,2019-12-10,99000000,99000000,-27000000.0
8,241641,2021,281,bernardo-silva,Bernardo Silva,Portugal,Portugal,1994-08-10,Attack,midfield - Attacking Midfield,Left,173,72000000.0,90000000.0,https://www.transfermarkt.co.uk/bernardo-silva/profil/spieler/241641,25,2,22484,35,Bernardo Silva,M/AM (RC),Man City,English Premier Division,England (Premier Division),POR,173,65,24,Left,AM (R),IW,73000000,150000,173,180,20,17,3,18,16,7,7,16,1,4,1,9,14,16,14,2,17,14,8,2,13,12,3,7,9,2,13,17,17,16,1,18,18,16,16,14,14,16,1,4,15,18,14,19,12,1,15,Portugal,bernardo-silva,72000000.0,2019-12-10,90000000,90000000,-18000000.0
9,357565,2021,281,rodri,Rodri,Spain,Spain,1996-06-22,Midfield,midfield - Defensive Midfield,Right,191,72000000.0,72000000.0,https://www.transfermarkt.co.uk/rodri/profil/spieler/357565,23,1,24419,282,Rodri,"DM, M (C)",Man City,English Premier Division,England (Premier Division),ESP,191,75,23,Right,DM,DLP,44500000,120000,155,165,15,14,3,14,16,15,13,15,3,1,3,18,8,14,13,1,10,11,12,10,12,11,3,14,13,3,8,9,15,7,3,10,13,16,8,8,15,15,2,3,13,13,16,12,10,2,13,Spain,rodri,72000000.0,2019-12-10,72000000,72000000,0.0
